Material,Price (in USD per kg),Site link
HDPE,1,https://businessanalytiq.com/procurementanalytics/index/hdpe-price-index/
Carbon_fiber,21.5,https://www.fortunebusinessinsights.com/industry-reports/carbon-fiber-market-101719
Epoxy_resin,4,https://businessanalytiq.com/procurementanalytics/index/epoxy-resin-price-index/
Glass_fiber,1.65,https://www.sciencedirect.com/science/article/pii/S1359835X03002951
Stainless_steel_316,4.9,https://mepsinternational.com/gb/en/products/stainless-steel-316-composite-prices?#product-unit-measurement-conversion-form
