,A,B,C
Size of the tank,0.004,0.022,0.035
Aluminum,2.9,9.8,15
Carbon_fiber,2.4,8.2,12.6
Epoxy_resin,1.6,5.5,8.4
Stainless_steel_316,0.5,0.5,0.5
